CMDLINE /home/freshield/anaconda3/bin/python b1_memory_profiler.py
MEM 1549.984375 1589204784.3784
MEM 51.082031 1589204784.4787
MEM 203.445312 1589204784.5790
MEM 178.179688 1589204784.6794
MEM 327.453125 1589204784.7797
MEM 437.281250 1589204784.8801
MEM 437.281250 1589204784.9804
MEM 437.281250 1589204785.0807
MEM 420.378906 1589204785.1811
MEM 86.914062 1589204785.2816
MEM 244.953125 1589204785.3820
MEM 404.281250 1589204785.4824
MEM 437.281250 1589204785.5827
MEM 437.281250 1589204785.6831
MEM 181.378906 1589204785.7835
MEM 172.507812 1589204785.8839
MEM 333.640625 1589204785.9845
MEM 448.625000 1589204786.0849
MEM 479.820312 1589204786.1852
MEM 510.242188 1589204786.2855
MEM 127.378906 1589204786.3860
MEM 178.164062 1589204786.4863
MEM 228.437500 1589204786.5866
MEM 277.421875 1589204786.6870
MEM 326.406250 1589204786.7874
MEM 376.421875 1589204786.8877
MEM 426.695312 1589204786.9880
MEM 476.968750 1589204787.0884
MEM 526.726562 1589204787.1887
MEM 575.195312 1589204787.2891
MEM 624.695312 1589204787.3894
MEM 671.359375 1589204787.4898
MEM 712.609375 1589204787.5902
MEM 759.273438 1589204787.6905
MEM 808.773438 1589204787.7909
MEM 858.015625 1589204787.8912
MEM 965.007812 1589204787.9916
MEM 1156.562500 1589204788.0919
MEM 1348.375000 1589204788.1922
MEM 1539.414062 1589204788.2926
MEM 207.898438 1589204788.3929
MEM 203.445312 1589204788.4933
MEM 190.554688 1589204788.5937
MEM 350.398438 1589204788.6940
MEM 437.281250 1589204788.7943
MEM 437.281250 1589204788.8947
MEM 437.281250 1589204788.9951
MEM 353.128906 1589204789.0955
MEM 112.437500 1589204789.1959
MEM 272.539062 1589204789.2963
MEM 432.382812 1589204789.3967
MEM 437.281250 1589204789.4971
MEM 404.128906 1589204789.5974
MEM 93.101562 1589204789.6979
MEM 252.687500 1589204789.7983
MEM 413.304688 1589204789.8987
MEM 465.640625 1589204789.9990
MEM 498.382812 1589204790.0994
MEM 292.175781 1589204790.1998
MEM 165.789062 1589204790.3002
MEM 218.640625 1589204790.4007
MEM 271.234375 1589204790.5010
MEM 324.085938 1589204790.6014
MEM 377.195312 1589204790.7018
MEM 430.046875 1589204790.8023
MEM 483.156250 1589204790.9026
MEM 536.265625 1589204791.0031
MEM 589.117188 1589204791.1036
MEM 641.968750 1589204791.2040
MEM 691.726562 1589204791.3043
MEM 739.164062 1589204791.4046
MEM 786.343750 1589204791.5049
MEM 833.265625 1589204791.6053
MEM 880.187500 1589204791.7057
MEM 1027.656250 1589204791.8060
MEM 1211.218750 1589204791.9063
MEM 1404.062500 1589204792.0067
MEM 1586.335938 1589204792.1071
MEM 72.218750 1589204792.2076
MEM 52.367188 1589204792.3079
MEM 202.929688 1589204792.4083
MEM 363.031250 1589204792.5086
MEM 437.281250 1589204792.6090
MEM 437.281250 1589204792.7093
MEM 437.281250 1589204792.8097
MEM 328.128906 1589204792.9100
MEM 122.234375 1589204793.0104
MEM 277.437500 1589204793.1107
MEM 428.515625 1589204793.2112
MEM 437.281250 1589204793.3115
MEM 437.281250 1589204793.4118
MEM 69.898438 1589204793.5122
MEM 228.710938 1589204793.6126
MEM 386.492188 1589204793.7129
MEM 458.679688 1589204793.8133
MEM 489.617188 1589204793.9136
MEM 464.925781 1589204794.0140
MEM 137.945312 1589204794.1144
MEM 186.671875 1589204794.2148
MEM 234.109375 1589204794.3151
MEM 282.320312 1589204794.4154
MEM 330.531250 1589204794.5158
MEM 378.484375 1589204794.6162
MEM 427.726562 1589204794.7165
MEM 476.195312 1589204794.8169
MEM 525.179688 1589204794.9172
MEM 573.132812 1589204795.0175
MEM 622.632812 1589204795.1178
MEM 671.875000 1589204795.2181
MEM 724.468750 1589204795.3185
MEM 776.289062 1589204795.4189
MEM 827.851562 1589204795.5193
MEM 880.187500 1589204795.6197
MEM 1046.218750 1589204795.7200
MEM 1230.812500 1589204795.8204
MEM 1392.460938 1589204795.9207
MEM 1570.351562 1589204796.0210
MEM 51.082031 1589204796.1215
MEM 203.445312 1589204796.2220
MEM 191.328125 1589204796.3225
MEM 346.531250 1589204796.4229
MEM 437.281250 1589204796.5233
MEM 437.281250 1589204796.6236
MEM 437.281250 1589204796.7240
MEM 437.281250 1589204796.8243
MEM 172.878906 1589204796.9247
MEM 170.960938 1589204797.0250
MEM 319.460938 1589204797.1254
MEM 437.281250 1589204797.2257
MEM 437.281250 1589204797.3261
MEM 437.281250 1589204797.4264
MEM 55.718750 1589204797.5267
MEM 198.546875 1589204797.6271
MEM 335.703125 1589204797.7275
MEM 444.500000 1589204797.8279
MEM 472.085938 1589204797.9282
MEM 504.054688 1589204798.0286
MEM 257.175781 1589204798.1289
MEM 169.398438 1589204798.2293
MEM 221.476562 1589204798.3297
MEM 272.007812 1589204798.4300
MEM 323.828125 1589204798.5304
MEM 376.421875 1589204798.6308
MEM 429.273438 1589204798.7311
MEM 481.867188 1589204798.8315
MEM 534.718750 1589204798.9318
MEM 587.570312 1589204799.0322
MEM 640.164062 1589204799.1326
MEM 693.015625 1589204799.2330
MEM 745.867188 1589204799.3334
MEM 798.203125 1589204799.4337
MEM 851.312500 1589204799.5341
MEM 942.320312 1589204799.6345
MEM 1138.000000 1589204799.7348
MEM 1331.875000 1589204799.8352
MEM 1523.945312 1589204799.9355
MEM 510.960938 1589204800.0358
MEM 203.445312 1589204800.1362
MEM 173.281250 1589204800.2365
MEM 325.906250 1589204800.3369
MEM 437.281250 1589204800.4373
MEM 437.281250 1589204800.5376
MEM 437.281250 1589204800.6379
MEM 437.281250 1589204800.7383
MEM 91.292969 1589204800.8386
MEM 203.960938 1589204800.9391
MEM 365.351562 1589204801.0395
MEM 437.281250 1589204801.1398
MEM 437.281250 1589204801.2401
MEM 236.628906 1589204801.3407
MEM 149.820312 1589204801.4411
MEM 303.218750 1589204801.5414
MEM 441.664062 1589204801.6418
MEM 473.632812 1589204801.7421
MEM 506.117188 1589204801.8425
MEM 215.425781 1589204801.9431
MEM 176.101562 1589204802.0434
MEM 228.437500 1589204802.1438
MEM 281.546875 1589204802.2442
MEM 334.398438 1589204802.3446
MEM 387.250000 1589204802.4450
MEM 440.359375 1589204802.5453
MEM 493.210938 1589204802.6457
MEM 546.320312 1589204802.7461
MEM 599.429688 1589204802.8465
MEM 652.281250 1589204802.9468
MEM 705.132812 1589204803.0473
MEM 757.468750 1589204803.1477
MEM 810.835938 1589204803.2480
MEM 863.687500 1589204803.3484
MEM 986.406250 1589204803.4488
MEM 1182.343750 1589204803.5491
MEM 1375.445312 1589204803.6495
MEM 1568.546875 1589204803.7499
MEM 64.484375 1589204803.8503
MEM 55.718750 1589204803.9507
MEM 210.664062 1589204804.0512
MEM 370.250000 1589204804.1516
MEM 437.281250 1589204804.2519
MEM 437.281250 1589204804.3522
MEM 437.281250 1589204804.4526
MEM 313.128906 1589204804.5530
MEM 124.039062 1589204804.6533
MEM 279.757812 1589204804.7537
MEM 437.281250 1589204804.8541
MEM 437.281250 1589204804.9544
MEM 410.378906 1589204805.0548
MEM 86.914062 1589204805.1552
MEM 241.601562 1589204805.2556
MEM 399.382812 1589204805.3560
MEM 462.289062 1589204805.4563
MEM 495.546875 1589204805.5567
MEM 329.925781 1589204805.6571
MEM 160.375000 1589204805.7574
MEM 210.648438 1589204805.8577
MEM 261.179688 1589204805.9581
MEM 308.617188 1589204806.0584
MEM 359.664062 1589204806.1587
MEM 412.515625 1589204806.2591
MEM 465.882812 1589204806.3595
FUNC __main__.my_func 43.3750 1589204730.0688 51.1406 1589204733.8947 0
FUNC __main__.my_func 43.5078 1589204733.8971 51.0820 1589204737.6988 0
FUNC __main__.my_func 51.0820 1589204737.7014 51.0820 1589204741.4797 0
FUNC __main__.my_func 51.0820 1589204741.4818 51.0820 1589204745.3278 0
FUNC __main__.my_func 51.0820 1589204745.3301 51.0820 1589204749.4993 0
FUNC __main__.my_func 51.0820 1589204749.5016 51.0820 1589204753.3237 0
FUNC __main__.my_func 51.0820 1589204753.3259 51.0820 1589204757.2362 0
FUNC __main__.my_func 51.0820 1589204757.2383 51.0820 1589204761.0700 0
FUNC __main__.my_func 51.0820 1589204761.0723 51.0820 1589204764.9834 0
FUNC __main__.my_func 51.0820 1589204764.9855 51.0820 1589204768.8493 0
FUNC __main__.my_func 51.0820 1589204768.8516 51.0820 1589204772.8155 0
FUNC __main__.my_func 51.0820 1589204772.8185 51.0820 1589204776.6610 0
FUNC __main__.my_func 51.0820 1589204776.6633 51.0820 1589204780.5496 0
FUNC __main__.my_func 51.0820 1589204780.5519 51.0820 1589204784.4784 0
FUNC __main__.my_func 51.0820 1589204784.4806 51.0820 1589204788.3981 0
FUNC __main__.my_func 51.0820 1589204788.4003 51.0820 1589204792.1954 0
FUNC __main__.my_func 51.0820 1589204792.1976 51.0820 1589204796.1173 0
FUNC __main__.my_func 51.0820 1589204796.1195 51.0820 1589204800.0501 0
FUNC __main__.my_func 51.0820 1589204800.0525 51.0820 1589204803.8411 0
FUNC __main__.my_func 51.0820 1589204803.8434 51.0820 1589204807.6164 0
MEM 518.992188 1589204806.4600
MEM 572.101562 1589204806.5604
MEM 625.210938 1589204806.6608
