CMDLINE /home/freshield/anaconda3/bin/python b1_memory_profiler.py
MEM 0.699219 1589204729.6833
MEM 17.660156 1589204729.7836
MEM 26.898438 1589204729.8839
MEM 37.253906 1589204729.9843
MEM 85.378906 1589204730.0847
MEM 69.574219 1589204730.1850
MEM 227.871094 1589204730.2854
MEM 385.394531 1589204730.3857
MEM 437.214844 1589204730.4861
MEM 437.214844 1589204730.5864
MEM 437.214844 1589204730.6868
MEM 376.121094 1589204730.7871
MEM 100.828125 1589204730.8875
MEM 258.351562 1589204730.9878
MEM 402.726562 1589204731.0881
MEM 437.273438 1589204731.1885
MEM 437.273438 1589204731.2888
MEM 134.121094 1589204731.3892
MEM 202.406250 1589204731.4895
MEM 360.960938 1589204731.5899
MEM 454.031250 1589204731.6902
MEM 485.742188 1589204731.7906
MEM 459.917969 1589204731.8909
MEM 143.406250 1589204731.9912
MEM 194.453125 1589204732.0917
MEM 245.242188 1589204732.1921
MEM 296.804688 1589204732.2924
MEM 347.851562 1589204732.3928
MEM 399.671875 1589204732.4932
MEM 451.750000 1589204732.5936
MEM 503.570312 1589204732.6940
MEM 555.132812 1589204732.7944
MEM 606.179688 1589204732.8947
MEM 657.742188 1589204732.9951
MEM 709.562500 1589204733.0955
MEM 762.156250 1589204733.1959
MEM 813.976562 1589204733.2963
MEM 865.796875 1589204733.3967
MEM 989.804688 1589204733.4970
MEM 1178.781250 1589204733.5973
MEM 1367.242188 1589204733.6977
MEM 1555.187500 1589204733.7981
MEM 46.597656 1589204733.8985
MEM 127.906250 1589204733.9989
MEM 203.187500 1589204734.0992
MEM 361.226562 1589204734.1996
MEM 437.281250 1589204734.2999
MEM 437.281250 1589204734.4003
MEM 437.281250 1589204734.5006
MEM 375.878906 1589204734.6009
MEM 100.578125 1589204734.7013
MEM 255.523438 1589204734.8018
MEM 414.335938 1589204734.9022
MEM 437.281250 1589204735.0025
MEM 437.281250 1589204735.1029
MEM 63.195312 1589204735.2032
MEM 220.460938 1589204735.3036
MEM 378.242188 1589204735.4039
MEM 456.875000 1589204735.5042
MEM 488.843750 1589204735.6046
MEM 415.175781 1589204735.7049
MEM 148.773438 1589204735.8052
MEM 200.078125 1589204735.9056
MEM 251.382812 1589204736.0059
MEM 302.171875 1589204736.1062
MEM 354.250000 1589204736.2066
MEM 405.554688 1589204736.3069
MEM 457.632812 1589204736.4072
MEM 509.195312 1589204736.5076
MEM 560.757812 1589204736.6079
MEM 612.062500 1589204736.7082
MEM 663.882812 1589204736.8085
MEM 715.703125 1589204736.9089
MEM 767.781250 1589204737.0092
MEM 818.570312 1589204737.1095
MEM 869.875000 1589204737.2099
MEM 1006.000000 1589204737.3102
MEM 1198.328125 1589204737.4105
MEM 1386.273438 1589204737.5108
MEM 1575.250000 1589204737.6112
MEM 73.765625 1589204737.7115
MEM 61.648438 1589204737.8119
MEM 219.687500 1589204737.9122
MEM 377.468750 1589204738.0125
MEM 437.281250 1589204738.1129
MEM 437.281250 1589204738.2132
MEM 437.281250 1589204738.3136
MEM 319.878906 1589204738.4140
MEM 128.679688 1589204738.5144
MEM 288.007812 1589204738.6148
MEM 437.281250 1589204738.7151
MEM 437.281250 1589204738.8155
MEM 396.628906 1589204738.9159
MEM 97.742188 1589204739.0163
MEM 254.492188 1589204739.1166
MEM 412.273438 1589204739.2170
MEM 464.351562 1589204739.3174
MEM 496.320312 1589204739.4178
MEM 335.425781 1589204739.5181
MEM 159.859375 1589204739.6185
MEM 210.906250 1589204739.7189
MEM 262.726562 1589204739.8193
MEM 315.320312 1589204739.9198
MEM 367.656250 1589204740.0201
MEM 419.218750 1589204740.1204
MEM 471.554688 1589204740.2207
MEM 523.632812 1589204740.3211
MEM 576.226562 1589204740.4214
MEM 628.304688 1589204740.5218
MEM 680.125000 1589204740.6221
MEM 731.945312 1589204740.7224
MEM 783.765625 1589204740.8227
MEM 835.843750 1589204740.9231
MEM 887.921875 1589204741.0235
MEM 1070.453125 1589204741.1238
MEM 1260.203125 1589204741.2242
MEM 1447.632812 1589204741.3246
MEM 1637.382812 1589204741.4250
MEM 161.937500 1589204741.5254
MEM 114.757812 1589204741.6258
MEM 273.312500 1589204741.7261
MEM 430.835938 1589204741.8265
MEM 437.281250 1589204741.9268
MEM 437.281250 1589204742.0272
MEM 437.281250 1589204742.1276
MEM 195.878906 1589204742.2279
MEM 174.312500 1589204742.3283
MEM 333.640625 1589204742.4287
MEM 437.281250 1589204742.5290
MEM 437.281250 1589204742.6293
MEM 262.628906 1589204742.7296
MEM 149.820312 1589204742.8300
MEM 309.406250 1589204742.9304
MEM 443.468750 1589204743.0308
MEM 475.953125 1589204743.1312
MEM 508.953125 1589204743.2315
MEM 129.179688 1589204743.3318
MEM 180.484375 1589204743.4322
MEM 232.046875 1589204743.5326
MEM 284.125000 1589204743.6330
MEM 336.203125 1589204743.7333
MEM 388.023438 1589204743.8337
MEM 440.617188 1589204743.9340
MEM 492.437500 1589204744.0343
MEM 543.226562 1589204744.1347
MEM 591.437500 1589204744.2351
MEM 639.648438 1589204744.3355
MEM 687.085938 1589204744.4359
MEM 732.976562 1589204744.5363
MEM 783.507812 1589204744.6366
MEM 831.976562 1589204744.7370
MEM 883.796875 1589204744.8374
MEM 1049.570312 1589204744.9377
MEM 1213.796875 1589204745.0383
MEM 1397.875000 1589204745.1387
MEM 1586.335938 1589204745.2391
MEM 65.773438 1589204745.3396
MEM 203.445312 1589204745.4399
MEM 137.445312 1589204745.5404
MEM 241.343750 1589204745.6407
MEM 342.406250 1589204745.7412
MEM 437.281250 1589204745.8415
MEM 437.281250 1589204745.9419
MEM 437.281250 1589204746.0421
MEM 437.281250 1589204746.1425
MEM 437.281250 1589204746.2429
MEM 147.128906 1589204746.3433
MEM 195.195312 1589204746.4437
MEM 353.234375 1589204746.5441
MEM 437.281250 1589204746.6445
MEM 437.281250 1589204746.7448
MEM 224.628906 1589204746.8452
MEM 165.289062 1589204746.9455
MEM 321.781250 1589204747.0458
MEM 446.046875 1589204747.1461
MEM 478.273438 1589204747.2465
MEM 510.500000 1589204747.3468
MEM 131.757812 1589204747.4472
MEM 183.578125 1589204747.5475
MEM 235.398438 1589204747.6478
MEM 286.960938 1589204747.7482
MEM 337.492188 1589204747.8485
MEM 385.703125 1589204747.9488
MEM 434.945312 1589204748.0491
MEM 480.578125 1589204748.1495
MEM 523.890625 1589204748.2498
MEM 567.460938 1589204748.3501
MEM 612.578125 1589204748.4504
MEM 659.500000 1589204748.5508
MEM 710.546875 1589204748.6512
MEM 761.335938 1589204748.7515
MEM 808.773438 1589204748.8519
MEM 853.375000 1589204748.9522
MEM 920.664062 1589204749.0525
MEM 1112.218750 1589204749.1529
MEM 1302.742188 1589204749.2533
MEM 1492.234375 1589204749.3536
MEM 1459.769531 1589204749.4539
MEM 179.210938 1589204749.5543
MEM 110.632812 1589204749.6547
MEM 266.093750 1589204749.7550
MEM 422.585938 1589204749.8554
MEM 437.281250 1589204749.9557
MEM 437.281250 1589204750.0560
MEM 437.281250 1589204750.1565
MEM 227.878906 1589204750.2569
MEM 161.937500 1589204750.3573
MEM 318.171875 1589204750.4577
MEM 437.281250 1589204750.5581
MEM 437.281250 1589204750.6584
MEM 294.878906 1589204750.7588
MEM 137.187500 1589204750.8592
MEM 296.515625 1589204750.9596
MEM 438.828125 1589204751.0599
MEM 471.570312 1589204751.1603
MEM 504.312500 1589204751.2606
MEM 245.425781 1589204751.3610
MEM 171.460938 1589204751.4613
MEM 223.539062 1589204751.5616
MEM 275.617188 1589204751.6619
MEM 327.437500 1589204751.7623
MEM 379.257812 1589204751.8626
MEM 430.820312 1589204751.9629
MEM 481.867188 1589204752.0632
MEM 532.914062 1589204752.1635
MEM 584.218750 1589204752.2639
MEM 636.039062 1589204752.3642
MEM 687.859375 1589204752.4645
MEM 740.195312 1589204752.5649
MEM 792.531250 1589204752.6652
MEM 844.609375 1589204752.7655
MEM 915.765625 1589204752.8659
MEM 1109.382812 1589204752.9662
MEM 1298.101562 1589204753.0665
MEM 1478.312500 1589204753.1669
MEM 1615.378906 1589204753.2673
MEM 153.171875 1589204753.3676
MEM 107.539062 1589204753.4680
MEM 263.000000 1589204753.5683
MEM 419.750000 1589204753.6687
MEM 437.281250 1589204753.7690
MEM 437.281250 1589204753.8694
MEM 437.281250 1589204753.9698
MEM 223.628906 1589204754.0701
MEM 165.546875 1589204754.1705
MEM 323.328125 1589204754.2708
MEM 437.281250 1589204754.3711
MEM 437.281250 1589204754.4715
MEM 387.128906 1589204754.5718
MEM 82.273438 1589204754.6721
MEM 225.875000 1589204754.7725
MEM 370.507812 1589204754.8728
MEM 453.781250 1589204754.9731
MEM 483.429688 1589204755.0735
MEM 494.925781 1589204755.1739
MEM 138.460938 1589204755.2745
MEM 190.023438 1589204755.3748
MEM 241.843750 1589204755.4752
MEM 293.921875 1589204755.5756
MEM 345.742188 1589204755.6761
MEM 398.078125 1589204755.7765
MEM 447.835938 1589204755.8770
MEM 499.914062 1589204755.9774
MEM 550.960938 1589204756.0777
MEM 602.265625 1589204756.1780
MEM 652.796875 1589204756.2783
MEM 696.882812 1589204756.3787
MEM 742.515625 1589204756.4791
MEM 793.820312 1589204756.5794
MEM 845.898438 1589204756.6797
MEM 918.343750 1589204756.7801
MEM 1110.929688 1589204756.8804
MEM 1289.335938 1589204756.9807
MEM 1462.328125 1589204757.0810
MEM 1641.507812 1589204757.1814
MEM 161.164062 1589204757.2818
MEM 110.890625 1589204757.3822
MEM 265.835938 1589204757.4826
MEM 422.843750 1589204757.5831
MEM 437.281250 1589204757.6835
MEM 437.281250 1589204757.7839
MEM 437.281250 1589204757.8843
MEM 225.128906 1589204757.9846
MEM 160.390625 1589204758.0849
MEM 316.882812 1589204758.1852
MEM 437.281250 1589204758.2856
MEM 437.281250 1589204758.3859
MEM 305.628906 1589204758.4863
MEM 132.031250 1589204758.5867
MEM 291.101562 1589204758.6871
MEM 439.601562 1589204758.7874
MEM 471.828125 1589204758.8878
MEM 504.054688 1589204758.9882
MEM 243.675781 1589204759.0885
MEM 171.718750 1589204759.1889
MEM 223.796875 1589204759.2892
MEM 276.132812 1589204759.3896
MEM 328.210938 1589204759.4899
MEM 379.257812 1589204759.5902
MEM 430.562500 1589204759.6906
MEM 482.382812 1589204759.7909
MEM 534.460938 1589204759.8913
MEM 586.539062 1589204759.9916
MEM 636.812500 1589204760.0919
MEM 688.117188 1589204760.1923
MEM 739.679688 1589204760.2926
MEM 790.984375 1589204760.3931
MEM 838.421875 1589204760.4935
MEM 885.343750 1589204760.5939
MEM 1048.796875 1589204760.6942
MEM 1224.625000 1589204760.7945
MEM 1411.539062 1589204760.8949
MEM 1601.804688 1589204760.9952
MEM 106.250000 1589204761.0955
MEM 77.632812 1589204761.1959
MEM 233.093750 1589204761.2962
MEM 387.523438 1589204761.3966
MEM 437.281250 1589204761.4969
MEM 437.281250 1589204761.5972
MEM 437.281250 1589204761.6976
MEM 330.878906 1589204761.7980
MEM 119.140625 1589204761.8984
MEM 273.828125 1589204761.9987
MEM 427.484375 1589204762.0991
MEM 437.281250 1589204762.1994
MEM 437.281250 1589204762.2998
MEM 72.476562 1589204762.4001
MEM 227.421875 1589204762.5005
MEM 384.429688 1589204762.6008
MEM 458.679688 1589204762.7012
MEM 491.421875 1589204762.8016
MEM 402.175781 1589204762.9019
MEM 143.875000 1589204763.0023
MEM 188.476562 1589204763.1026
MEM 239.523438 1589204763.2029
MEM 291.343750 1589204763.3033
MEM 339.296875 1589204763.4036
MEM 386.734375 1589204763.5039
MEM 434.171875 1589204763.6043
MEM 486.250000 1589204763.7047
MEM 538.328125 1589204763.8051
MEM 588.085938 1589204763.9054
MEM 637.843750 1589204764.0058
MEM 686.828125 1589204764.1062
MEM 733.750000 1589204764.2065
MEM 783.250000 1589204764.3069
MEM 834.296875 1589204764.4073
MEM 885.859375 1589204764.5077
MEM 1060.398438 1589204764.6080
MEM 1243.703125 1589204764.7083
MEM 1425.460938 1589204764.8087
MEM 1605.414062 1589204764.9090
MEM 108.312500 1589204765.0093
MEM 80.468750 1589204765.1097
MEM 238.250000 1589204765.2100
MEM 392.937500 1589204765.3104
MEM 437.281250 1589204765.4107
MEM 437.281250 1589204765.5112
MEM 437.281250 1589204765.6115
MEM 308.878906 1589204765.7119
MEM 131.257812 1589204765.8122
MEM 291.101562 1589204765.9126
MEM 437.281250 1589204766.0130
MEM 437.281250 1589204766.1133
MEM 382.128906 1589204766.2136
MEM 99.546875 1589204766.3140
MEM 254.750000 1589204766.4143
MEM 409.437500 1589204766.5147
MEM 461.773438 1589204766.6151
MEM 490.132812 1589204766.7154
MEM 415.925781 1589204766.8157
MEM 144.648438 1589204766.9161
MEM 193.632812 1589204767.0165
MEM 244.679688 1589204767.1168
MEM 294.437500 1589204767.2172
MEM 345.484375 1589204767.3175
MEM 395.757812 1589204767.4179
MEM 445.773438 1589204767.5182
MEM 497.335938 1589204767.6186
MEM 548.898438 1589204767.7189
MEM 598.914062 1589204767.8192
MEM 647.898438 1589204767.9196
MEM 697.914062 1589204768.0200
MEM 747.414062 1589204768.1203
MEM 798.976562 1589204768.2206
MEM 850.539062 1589204768.3210
MEM 932.523438 1589204768.4213
MEM 1124.078125 1589204768.5217
MEM 1313.054688 1589204768.6220
MEM 1501.515625 1589204768.7224
MEM 933.488281 1589204768.8227
MEM 203.445312 1589204768.9231
MEM 152.914062 1589204769.0235
MEM 284.656250 1589204769.1238
MEM 437.281250 1589204769.2245
MEM 437.281250 1589204769.3249
MEM 437.281250 1589204769.4252
MEM 437.281250 1589204769.5256
MEM 195.378906 1589204769.6260
MEM 175.085938 1589204769.7263
MEM 333.382812 1589204769.8267
MEM 437.281250 1589204769.9271
MEM 437.281250 1589204770.0274
MEM 372.128906 1589204770.1278
MEM 102.382812 1589204770.2282
MEM 259.390625 1589204770.3285
MEM 416.398438 1589204770.4289
MEM 460.226562 1589204770.5293
MEM 487.039062 1589204770.6298
MEM 502.675781 1589204770.7302
MEM 135.109375 1589204770.8306
MEM 185.898438 1589204770.9309
MEM 237.460938 1589204771.0312
MEM 289.023438 1589204771.1316
MEM 340.070312 1589204771.2319
MEM 389.570312 1589204771.3324
MEM 437.265625 1589204771.4327
MEM 485.734375 1589204771.5331
MEM 537.554688 1589204771.6334
MEM 589.117188 1589204771.7337
MEM 640.937500 1589204771.8341
MEM 692.500000 1589204771.9344
MEM 744.320312 1589204772.0347
MEM 790.726562 1589204772.1351
MEM 836.359375 1589204772.2355
MEM 884.312500 1589204772.3358
MEM 1059.367188 1589204772.4362
MEM 1250.664062 1589204772.5365
MEM 1439.382812 1589204772.6369
MEM 1609.796875 1589204772.7373
MEM 91.039062 1589204772.8377
MEM 65.515625 1589204772.9380
MEM 222.265625 1589204773.0384
MEM 376.437500 1589204773.1388
MEM 437.281250 1589204773.2393
MEM 437.281250 1589204773.3396
MEM 437.281250 1589204773.4400
MEM 326.128906 1589204773.5404
MEM 123.007812 1589204773.6407
MEM 280.273438 1589204773.7411
MEM 437.281250 1589204773.8414
MEM 437.281250 1589204773.9418
MEM 419.878906 1589204774.0421
MEM 81.757812 1589204774.1425
MEM 236.703125 1589204774.2428
MEM 392.679688 1589204774.3432
MEM 459.453125 1589204774.4435
MEM 491.421875 1589204774.5439
MEM 388.675781 1589204774.6442
MEM 152.382812 1589204774.7446
MEM 204.718750 1589204774.8449
MEM 256.796875 1589204774.9452
MEM 308.101562 1589204775.0455
MEM 359.921875 1589204775.1459
MEM 412.000000 1589204775.2462
MEM 464.078125 1589204775.3465
MEM 516.156250 1589204775.4469
MEM 568.234375 1589204775.5472
MEM 620.312500 1589204775.6476
MEM 672.390625 1589204775.7480
MEM 724.210938 1589204775.8483
MEM 776.031250 1589204775.9487
MEM 822.953125 1589204776.0490
MEM 870.132812 1589204776.1493
MEM 996.460938 1589204776.2496
MEM 1188.015625 1589204776.3500
MEM 1376.218750 1589204776.4503
MEM 1550.500000 1589204776.5507
MEM 359.429688 1589204776.6510
MEM 203.445312 1589204776.7513
MEM 178.953125 1589204776.8516
MEM 334.671875 1589204776.9520
MEM 437.281250 1589204777.0523
MEM 437.281250 1589204777.1526
MEM 437.281250 1589204777.2530
MEM 437.281250 1589204777.3533
MEM 71.445312 1589204777.4537
MEM 226.906250 1589204777.5541
MEM 382.625000 1589204777.6544
MEM 437.281250 1589204777.7548
MEM 437.281250 1589204777.8552
MEM 152.878906 1589204777.9555
MEM 191.070312 1589204778.0559
MEM 349.625000 1589204778.1562
MEM 451.976562 1589204778.2566
MEM 484.976562 1589204778.3569
MEM 465.925781 1589204778.4573
MEM 142.585938 1589204778.5576
MEM 194.406250 1589204778.6579
MEM 239.265625 1589204778.7583
MEM 285.671875 1589204778.8586
MEM 331.562500 1589204778.9591
MEM 383.125000 1589204779.0594
MEM 434.687500 1589204779.1597
MEM 482.898438 1589204779.2601
MEM 526.468750 1589204779.3604
MEM 570.554688 1589204779.4608
MEM 621.343750 1589204779.5611
MEM 673.164062 1589204779.6615
MEM 724.984375 1589204779.7618
MEM 776.804688 1589204779.8622
MEM 828.882812 1589204779.9625
MEM 879.414062 1589204780.0628
MEM 1041.835938 1589204780.1633
MEM 1229.007812 1589204780.2636
MEM 1407.671875 1589204780.3639
MEM 1587.109375 1589204780.4642
MEM 77.375000 1589204780.5646
MEM 51.593750 1589204780.6649
MEM 195.453125 1589204780.7652
MEM 345.500000 1589204780.8657
MEM 437.281250 1589204780.9660
MEM 437.281250 1589204781.0664
MEM 437.281250 1589204781.1667
MEM 437.281250 1589204781.2671
MEM 204.628906 1589204781.3675
MEM 172.507812 1589204781.4678
MEM 331.835938 1589204781.5682
MEM 437.281250 1589204781.6686
MEM 437.281250 1589204781.7690
MEM 275.878906 1589204781.8693
MEM 128.421875 1589204781.9697
MEM 276.921875 1589204782.0701
MEM 427.742188 1589204782.1704
MEM 465.898438 1589204782.2708
MEM 496.835938 1589204782.3712
MEM 328.175781 1589204782.4716
MEM 155.476562 1589204782.5719
MEM 205.234375 1589204782.6723
MEM 254.992188 1589204782.7726
MEM 308.101562 1589204782.8729
MEM 357.601562 1589204782.9733
MEM 405.296875 1589204783.0737
MEM 452.476562 1589204783.1740
MEM 498.882812 1589204783.2743
MEM 547.351562 1589204783.3747
MEM 596.335938 1589204783.4751
MEM 648.929688 1589204783.5755
MEM 701.781250 1589204783.6759
MEM 754.890625 1589204783.7763
MEM 808.000000 1589204783.8767
MEM 860.593750 1589204783.9770
MEM 975.062500 1589204784.0774
MEM 1167.390625 1589204784.1777
MEM 1359.460938 1589204784.2780
